palavra/pergunta,resposta,imagem
Uso de pronomes de tratamento formal, Vossa Excelência deveria vir, https://tse3.mm.bing.net/th?id=OIG1.z_fhkQrNNQlri_SaM3ys&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes interrogativos diretos, Quem é você?, https://tse1.mm.bing.net/th?id=OIG4.qJx1G.1SImN_tmxgPxGp&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes interrogativos indiretos, Ana quer saber quem é você, https://tse1.mm.bing.net/th?id=OIG1.ZY6r3hGGPs7EM_Zv3IR9&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes indefinidos variáveis, Algum nenhum todo, https://tse4.mm.bing.net/th?id=OIG3.70gRT0CQZ3d1K9yyHKCo&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes indefinidos invariáveis, Alguém ninguém tudo, https://tse2.mm.bing.net/th?id=OIG2.V8.MImbmkbiTNSmpSrC6&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Diferença entre "para mim" e "para eu", Para mim estudar é errado correto é Para eu estudar,https://tse1.mm.bing.net/th?id=OIG4.oYNsgjrCt_jnq7_fNKX9&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Exemplo de pronomes possessivos, Meu carro teu livro seu amigo, https://tse1.mm.bing.net/th?id=OIG2.GxiajImCLtGiQ7sN1fQ0&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Exemplo de pronomes demonstrativos, Este carro essa casa aquele parque, https://tse3.mm.bing.net/th?id=OIG1.4AkTb7g8j5VDt5HNom5k&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Uso de pronomes relativos em frases, O livro que eu li, https://tse1.mm.bing.net/th?id=OIG4.AMSOZS0jwW_nWq3DhKxg&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes de tratamento em cartas, Magnífico Reitor, https://tse3.mm.bing.net/th?id=OIG2.r7RhqRD9SeuEdtIw6bQm&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Uso de pronomes indefinidos, Alguém bateu na porta, https://tse2.mm.bing.net/th?id=OIG4.SGNGTdEUB_jpKXuRHH00&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
Pronomes interrogativos em diálogo, Quanto custa?, https://tse4.mm.bing.net/th?id=OIG3.gdpxcR5jQ4UWEWdz.BMt&w=270&h=270&c=6&r=0&o=5&pid=ImgGn
